Nº serie;Etiqueta;Fabricante;Modelo
7MT15K3;0041092;DELL;T440 Dell 5Y T1
5CG1310XSL;0040477;HP;14" CF20631LA
SX4GJ6LL7JD;0040596;APPLE;MACBOOK PRO 16
5HRBPK3;0041240;DELL;T440 Dell 5Y T1
GGRBPK3;0041239;DELL;R440 DIS 8
FCX90M3;0041264;DELL;R440
GCX90M3;0041263;DELL;R440
SC02G30Z4PN5W;0040597;APPLE;IMAC 27
4BYZWM3;0041683;DELL;Rack T440 Dell
1BYZWM3;0041686;DELL;Rack T440 Dell
6BYZWM3;0041681;DELL;Rack T440 Dell
2BYZWM3;0041682;DELL;Rack T440 Dell
SC02G40KCPN5W;0041701;APPLE;A2115
QD41C6NFWM;0041901;APPLE;MacBook Pro 16
10.181.6.19;0041951;NUC;NUC
10.181.6.18;0041952;NUC;NUC
10.181.5.61;0041953;NUC;NUC
4YFTQN3;0041947;DELL;POWER EDGE R640
41GXD08;0042047;TOSHIBA;4900-777
41GXC18;0042130;TOSHIBA;4900-777
41GXC27;0042142;TOSHIBA;4900-777
66SG0M3;0041483;Dell;Wyse 5070
F7SG0M3;0041482;Dell;Wyse 5070
J7SG0M3;0041484;Dell;Wyse 5070
7YRWWP3;0042237;DELL;R440
DK6ZWP3;0042239;DELL;R440
FK6ZWP3;0042238;DELL;R440
7K6ZWP3;0042240;DELL;R440
5K6ZWP3;0042241;DELL;R440
8K6ZWP3;0042242;DELL;R440
2K6ZWP3;0042243;DELL;R440
4K6ZWP3;0042244;DELL;R440
6K6ZWP3;0042245;DELL;R440 Dell 5Y T2W
41HLV67;0042824;TOSHIBA;4900-786
41HLT51;0042815;TOSHIBA;4900-786
41HLX09;0042754;TOSHIBA;4900-786
5H070R3;0042907;DELL;POWEREDGE T-350
8H070R3;0042889;DELL;POWEREDGE T-350
6H070R3;0042909;DELL;POWEREDGE T-350
9H070R3;0042895;DELL;POWEREDGE T-350
2H070R3;0042910;DELL;POWEREDGE T-350
7H070R3;0042894;DELL;POWEREDGE T-350
4H070R3;0042912;DELL;POWEREDGE T-350
3H070R3;0042915;DELL;POWEREDGE T-350
1H070R3;0042913;DELL;POWEREDGE T-350
CD070R3;0042884;DELL;POWEREDGE T-350
4D070R3;0042901;DELL;POWEREDGE T-350
7D070R3;0042902;DELL;POWEREDGE T-350
6D070R3;0042893;DELL;POWEREDGE T-350
9D070R3;0042891;DELL;POWEREDGE T-350
DD070R3;0042896;DELL;POWEREDGE T-350
5D070R3;0042900;DELL;POWEREDGE T-350
8D070R3;0042886;DELL;POWEREDGE T-350
BD070R3;0042888;DELL;POWEREDGE T-350
GC070R3;0042897;DELL;POWEREDGE T-350
2D070R3;0042890;DELL;POWEREDGE T-350
FC070R3;0042898;DELL;POWEREDGE T-350
3D070R3;0042905;DELL;POWEREDGE T-350
HC070R3;0042892;DELL;POWEREDGE T-350
1D070R3;0042899;DELL;POWEREDGE T-350
JC070R3;0042887;DELL;POWEREDGE T-350
JF070R3;0042885;DELL;POWEREDGE T-350
3G070R3;0042903;DELL;POWEREDGE T-350
1G070R3;0042911;DELL;POWEREDGE T-350
2G070R3;0042906;DELL;POWEREDGE T-350
6G070R3;0042908;DELL;POWEREDGE T-350
GJ6W0R3;0043283;DELL;POWEREDGE T-350
5CG1310XQX;000000024395;HP;14-CF2063LA
DLT13Q3;0042217;Dell;Wyse 5070
8HXBFF3;0041142;DELL;Optiplex 7080 Dell
41CFMDY;0034255;TOSHIBA;4900-777
XFY1217RC2;0041676;APPLE;MacBook Pro14
18SG0M3;0041494;Dell;Wyse 5070
2MT13Q3;0042234;Dell;Wyse 5070
7LT13Q3;0042236;Dell;Wyse 5070
MXGK3JFHFJ;0044118;APPLE;A2442
5CG13043G0;0041661;HP;14-CF2063LA
FMT13Q3;0042226;Dell;Wyse 3040
BLT13Q3;0042231;Dell;Wyse 3040
41HFX00;0044115;TOSHIBA;4900-777
41HFX11;0044114;TOSHIBA;4900-777
MXL2372C68;;HP;HP Z1 G6 Corei9
2150XCD07F;0042072;Oracle;Exadata X9M
2150XCD07B;0042073;Oracle;Exadata X9M
5BYZWM3;0041687;DELL;Rack R440 Dell 5Y T2W
8BYZWM3;0041684;DELL;Rack R440 Dell 5Y T2W
9K6ZWP3;000000025889;DELL;R440
3K6ZWP3;000000025890;DELL;R440
N4N0CX07W362156;000000025984;ASUS;X415J
N4N0CX07W39615G;;ASUS;X415J
N4N0CX07W32115G;;ASUS;X415J
C02JN1FRQ6X3;;APPLE;Z12R PANTALLA RETINA
